Dataset id,SDG,CSTest,CSTest_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.9368560756384736,0.0032583999999999946,Q1000,D0
SD0Q1000_1,SD0Q1000,0.9651366288188932,0.001416599999999768,Q1000,D0
SD0Q1000_2,SD0Q1000,0.9021620287128638,0.0006934000000002882,Q1000,D0
SD0Q1000_3,SD0Q1000,0.9281687078892816,0.0009458999999996109,Q1000,D0
SD0Q1000_4,SD0Q1000,0.9412026453319264,0.0007165000000002308,Q1000,D0
SD0Q1000_5,SD0Q1000,0.9216587390439286,0.0008379999999998944,Q1000,D0
SD0Q1000_6,SD0Q1000,0.9281687078892816,0.001473400000000069,Q1000,D0
SD0Q1000_7,SD0Q1000,0.9542523493969913,0.0007055999999998619,Q1000,D0
SD0Q1000_8,SD0Q1000,0.9520764518089532,0.0007054000000001892,Q1000,D0
SD0Q1000_9,SD0Q1000,0.9651366288188932,0.0007200999999996682,Q1000,D0
SD0Q100_0,SD0Q100,0.7163596459934592,0.0007060000000000954,Q100,D0
SD0Q100_1,SD0Q100,0.7368630282191522,0.0008441000000001253,Q100,D0
SD0Q100_2,SD0Q100,0.7575554677356858,0.0009870000000002932,Q100,D0
SD0Q100_3,SD0Q100,0.8121402425620062,0.0008240999999999943,Q100,D0
SD0Q100_4,SD0Q100,0.7637980076938369,0.0007219000000002751,Q100,D0
SD0Q100_5,SD0Q100,0.7931271540187986,0.0006812000000007146,Q100,D0
SD0Q100_6,SD0Q100,0.7637980076938369,0.0007849000000001993,Q100,D0
SD0Q100_7,SD0Q100,0.7826164447981434,0.0006827999999998724,Q100,D0
SD0Q100_8,SD0Q100,0.8121402425620062,0.001338699999999804,Q100,D0
SD0Q100_9,SD0Q100,0.7286382271174949,0.0007068999999999548,Q100,D0
SD0Q10_0,SD0Q10,0.7826164447981434,0.0007197999999997151,Q10,D0
SD0Q10_1,SD0Q10,0.8206269158604835,0.0006819999999994053,Q10,D0
SD0Q10_2,SD0Q10,0.8355286709303791,0.0013454999999993333,Q10,D0
SD0Q10_3,SD0Q10,0.7805189894552691,0.0006914999999994009,Q10,D0
SD0Q10_4,SD0Q10,0.8142598846542212,0.0007768999999999693,Q10,D0
SD0Q10_5,SD0Q10,0.8121402425620062,0.0007815000000004346,Q10,D0
SD0Q10_6,SD0Q10,0.8206269158604835,0.000710699999999953,Q10,D0
SD0Q10_7,SD0Q10,0.7994518010972201,0.0014742000000005362,Q10,D0
SD0Q10_8,SD0Q10,0.8870380040775143,0.000975500000000018,Q10,D0
SD0Q10_9,SD0Q10,0.7637980076938369,0.0009037000000002848,Q10,D0
SD0Q1500_0,SD0Q1500,0.9151540148959642,0.0007752999999999233,Q1500,D0
SD0Q1500_1,SD0Q1500,0.9455509669767148,0.0007672999999996932,Q1500,D0
SD0Q1500_2,SD0Q1500,0.8827241530870892,0.000838700000000081,Q1500,D0
SD0Q1500_3,SD0Q1500,0.9194898935469609,0.0009440999999998922,Q1500,D0
SD0Q1500_4,SD0Q1500,0.9259981622588747,0.0007583999999996038,Q1500,D0
SD0Q1500_5,SD0Q1500,0.9108206593739387,0.0008413000000002668,Q1500,D0
SD0Q1500_6,SD0Q1500,0.9194898935469609,0.0007863999999999649,Q1500,D0
SD0Q1500_7,SD0Q1500,0.9433765952284026,0.0007641999999998816,Q1500,D0
SD0Q1500_8,SD0Q1500,0.9390291334257311,0.0007549999999998391,Q1500,D0
SD0Q1500_9,SD0Q1500,0.9564285880104146,0.00075309999999984,Q1500,D0
SD0Q500_0,SD0Q500,0.9716704462178464,0.0007958000000005683,Q500,D0
SD0Q500_1,SD0Q500,0.9912815554244071,0.0007683000000007212,Q500,D0
SD0Q500_2,SD0Q500,0.9694922741174132,0.0008869999999996381,Q500,D0
SD0Q500_3,SD0Q500,0.9912815554244071,0.0007565000000004929,Q500,D0
SD0Q500_4,SD0Q500,1.0,0.0011535999999994218,Q500,D0
SD0Q500_5,SD0Q500,0.9869226584392448,0.0007502999999999815,Q500,D0
SD0Q500_6,SD0Q500,0.9803850854753778,0.0007945999999998676,Q500,D0
SD0Q500_7,SD0Q500,0.962959188070902,0.0007571000000003991,Q500,D0
