Dataset id,SDG,CrCl,CrCl_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.5156626506024096,0.1049329999999999,Q1000,D0
SD0Q1000_1,SD0Q1000,0.5152224824355972,0.1072267,Q1000,D0
SD0Q1000_2,SD0Q1000,0.5097087378640778,0.1004389999999997,Q1000,D0
SD0Q1000_3,SD0Q1000,0.5109489051094891,0.1046930000000001,Q1000,D0
SD0Q1000_4,SD0Q1000,0.5290023201856149,0.1739039,Q1000,D0
SD0Q1000_5,SD0Q1000,0.5273159144893113,0.1063931999999994,Q1000,D0
SD0Q1000_6,SD0Q1000,0.5158150851581509,0.1022262999999998,Q1000,D0
SD0Q1000_7,SD0Q1000,0.547085201793722,0.1017369999999999,Q1000,D0
SD0Q1000_8,SD0Q1000,0.5060240963855422,0.1150736999999999,Q1000,D0
SD0Q1000_9,SD0Q1000,0.563758389261745,0.1096722000000003,Q1000,D0
SD0Q100_0,SD0Q100,0.3467048710601719,0.1043362999999999,Q100,D0
SD0Q100_1,SD0Q100,0.2741652021089631,0.1047462000000001,Q100,D0
SD0Q100_2,SD0Q100,0.3251533742331288,0.1061078000000002,Q100,D0
SD0Q100_3,SD0Q100,0.4726027397260274,0.0991399999999993,Q100,D0
SD0Q100_4,SD0Q100,0.4183976261127596,0.0969145999999998,Q100,D0
SD0Q100_5,SD0Q100,0.1515151515151515,0.0986229999999999,Q100,D0
SD0Q100_6,SD0Q100,0.3197278911564626,0.0983754000000001,Q100,D0
SD0Q100_7,SD0Q100,0.038647342995169,0.1072875000000008,Q100,D0
SD0Q100_8,SD0Q100,0.3046875,0.1030667999999996,Q100,D0
SD0Q100_9,SD0Q100,0.3609756097560975,0.1009210999999998,Q100,D0
SD0Q10_0,SD0Q10,0.4586776859504132,0.1003899999999999,Q10,D0
SD0Q10_1,SD0Q10,0.0842696629213483,0.1378366999999993,Q10,D0
SD0Q10_2,SD0Q10,0.1085271317829457,0.1262632000000003,Q10,D0
SD0Q10_3,SD0Q10,0.3704819277108434,0.1176332999999996,Q10,D0
