Dataset id,SDG,pMSE,pMSE_time,s_pMSE,s_pMSE_time,Cluster_G_2,Cluster_G_2_time,BNLogLikelihood,BNLogLikelihood_time,GMLogLikelihood,GMLogLikelihood_time,ContinousKLDivergence,ContinousKLDivergence_time,DiscreteKLDivergence,DiscreteKLDivergence_time,KSComplement,KSComplement_time,CSTest,CSTest_time,CrCl,CrCl_time,Quality,Original dataset
SD305Q1500_0,SD305Q1500,24.64889700763453,1.6271681719990738,19580.173289094146,1.869888228000491,4.007536915944982,1062.9004101709995,-18.42068074395237,756.9034121029999,-465213773.6371552,33.093742174,0.9224504168207645,1209.835200722,,0.0134405219996551,0.941902332361516,1.267368245000398,0.9999997852615712,0.025043308000022,0.5556563499657383,5.103782318999947,Q1500,D305
SD305Q1500_1,SD305Q1500,26.974411367596907,2.349262154999451,10884.48935318468,1.8544636800033913,,,-18.42068074395237,734.4402125199995,-467892424.5225291,39.53585470500184,0.9228714745533422,1256.322920961,,0.015713371998572256,0.9424063411078716,1.4641942700000072,0.9999998906075064,0.027041805999033386,0.6007935766647459,4.392641815000388,Q1500,D305
SD305Q1500_2,SD305Q1500,37.524974002401365,1.5315635549995932,10596.74592235329,1.5958573850002722,,,-18.42068074395237,713.6193796410007,-441208767.6845116,38.89548609999838,0.9221031718771756,1267.5534038469996,,0.015364798997325124,0.94149416909621,1.3547212800003763,0.99999981137368,0.025238059999537654,0.5869250707238707,5.032508444000996,Q1500,D305
SD305Q1500_3,SD305Q1500,48.07729709908558,2.0071106840005086,12364.054655622982,1.7572168719998444,,,-18.42068074395237,707.7504038520019,-538897777.3428512,37.92467476099773,0.9215043157924026,1263.699615982001,,0.014500289998977678,0.9423032069970845,1.2953544539996074,0.9999998106311222,0.027639969001029385,0.5959500638244355,5.288870473003044,Q1500,D305
SD305Q1500_4,SD305Q1500,40.288632169045634,1.9488513460019021,13657.889882544972,1.6999455830009538,,,-18.42068074395237,715.3924504620009,-456326410.9874465,35.06320590300311,0.9238655528573642,1261.3145806089997,,0.014834961999440566,0.944009475218659,1.3417558280016237,0.9999998683531524,0.025987912002165103,0.5800729856734381,4.535459194001305,Q1500,D305
SD305Q1500_5,SD305Q1500,27.22998969173757,1.8268336900000577,9730.92280286396,1.8035346300021047,,,-18.42068074395237,725.6034589589981,-385087601.08387214,35.18811673299933,0.921737827154865,1261.1226883050003,,0.014158215002680663,0.941810860058309,1.249421328000608,0.9999998925022732,0.024421232999884523,0.5716642552557425,4.234995364997303,Q1500,D305
SD305Q1500_6,SD305Q1500,48.23633516222827,1.7956810019968543,13283.679377702498,2.1042345440000645,,,-18.42068074395237,704.476503388003,-427071658.0507553,35.675122808002925,0.9233398842169998,1264.7334718769998,,0.013825620997522492,0.943106778425656,1.281957646002411,0.999999890246273,0.024390072001551744,0.5703767709690433,4.286979847995099,Q1500,D305
SD305Q1500_7,SD305Q1500,22.677562196412993,1.7908605909979087,39156.95066647806,1.8274552670045523,,,-18.42068074395237,709.7957410160016,-381166845.92590237,34.20764493000024,0.9219895047909475,1256.9357729529947,,0.015503112997976132,0.942265306122449,1.415634338001837,0.9999999032316146,0.026145832001930103,0.5895165344620419,4.304693562000466,Q1500,D305
SD305Q1500_8,SD305Q1500,31.44861231411698,1.6428862159955315,13307.586995279951,1.7189614890012308,,,-18.42068074395237,722.5245209620043,-522286528.5083483,36.912867618993914,0.9238415392367199,1260.6447528749995,,0.014271889995143283,0.9432689504373177,1.3644715760019608,0.9999998560337431,0.029186040999775287,0.5739881461506073,5.3871998159957,Q1500,D305
SD305Q1500_9,SD305Q1500,18.937521789348104,1.5686528410005849,9433.367162129625,1.621921147001558,,,-18.42068074395237,702.0456741679955,-416178356.6602542,39.47977222999907,0.9227522585651674,1259.9579523339999,,0.014293019994511269,0.9423946793002915,1.2689443919953192,0.9999997738466422,0.024650421997648664,0.5903732214541388,5.329939720999391,Q1500,D305
