Dataset id,model,F1,Accuracy,AUC,MCC,Kappa,Params,Tuned on,Trained on,USI,Quality,SDG,Accuracy_same,F1_same,MCC_same,Kappa_same,Accuracy_strat,F1_strat,MCC_strat,Kappa_strat
D305,lr,0.902752619000808,0.9042857142857142,,0.8937523394595306,0.8936124362298425,"{'C': 0.615848211066026, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",original,original,37a8,,,,,,,,,,
D305,knn,0.8950376237535942,0.8957142857142857,,0.8847791891511069,0.8840375799936459,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",original,original,37a8,,,,,,,,,,
D305,rbfsvm,0.9353104812986672,0.9357142857142856,,0.9286493860109716,0.9285440452236798,"{'C': 4.281332398719396, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 100000, 'probability': False, 'random_state': None, 'shrinking': False, 'tol': 0.001, 'verbose': False}",original,original,37a8,,,,,,,,,,
D305,rf,0.9287180658946056,0.93,,0.922307664817711,0.922192581300813,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",original,original,37a8,,,,,,,,,,
D205,lr,0.6948358830711772,0.8960176991150443,,0.408809756325011,0.3935137604202352,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",original,original,9ffe,,,,,,,,,,
D205,knn,0.5750343530773124,0.8849557522123894,,0.2252925778519863,0.1739649961341112,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 30, 'p': 2, 'weights': 'uniform'}",original,original,9ffe,,,,,,,,,,
D205,rbfsvm,0.6498030100720372,0.8960176991150443,,0.356291305402328,0.3119575074491514,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",original,original,9ffe,,,,,,,,,,
D205,rf,0.6320416802344514,0.8893805309734514,,0.3116056744740357,0.2761514316827878,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",original,original,9ffe,,,,,,,,,,
SD205Q1_0,lr,,,,,,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",original,synthetic,6ca7,Q1,SD205Q1,0.8473451327433629,0.5612206136833664,0.1307097317808948,0.1268756998880179,0.8163716814159292,0.4721929121118755,-0.0517993553129936,-0.0502799552071668
SD205Q1_0,lr,,,,,,"{'C': 0.0018329807108324356, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",synthetic,synthetic,6ca7,Q1,SD205Q1,0.8584070796460177,0.5708266571716811,0.1571442808728235,0.1489261547513974,0.827433628318584,0.4769449884279864,-0.0393015921740408,-0.0372462488967342
SD205Q1_0,knn,,,,,,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 21, 'p': 1, 'weights': 'uniform'}",synthetic,synthetic,6ca7,Q1,SD205Q1,0.6150442477876106,0.4805421257034161,0.0594607764674335,0.0458813538760161,0.584070796460177,0.4387466645531162,-0.0400283281031427,-0.0308868130534998
SD205Q1_0,rbfsvm,,,,,,"{'C': 0.23357214690901212, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.25, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100000, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",synthetic,synthetic,6ca7,Q1,SD205Q1,0.8517699115044248,0.535343306482547,0.0871645662589834,0.0809662539451323,0.8296460176991151,0.4659915611814346,-0.0605055384976152,-0.0562029618839523
