Dataset id,SDG,pMSE,pMSE_time,s_pMSE,s_pMSE_time,Cluster_G_2,Cluster_G_2_time,BNLogLikelihood,BNLogLikelihood_time,GMLogLikelihood,GMLogLikelihood_time,ContinousKLDivergence,ContinousKLDivergence_time,DiscreteKLDivergence,DiscreteKLDivergence_time,KSComplement,KSComplement_time,CSTest,CSTest_time,CrCl,CrCl_time,Quality,Original dataset
SD305Q100_0,SD305Q100,354.2047279869189,1.8222428399999444,151835.5387820326,2.01799108399996,15.858891397667731,961.6477815279998,-18.42068074395237,794.6832971430003,-186462462.5175716,39.87540234700009,0.8024375241026281,1277.0295122029995,,0.0151429769994138,0.8575462827988337,1.356046038000386,0.995682043618044,0.0263115140005538,0.470381874212438,4.140629208000064,Q100,D305
SD305Q100_1,SD305Q100,313.4001430219929,2.191645081999013,148030.2037525914,2.174014072999853,,,-18.42068074395237,932.250576306,-90114499.87298,49.20879504899858,0.7979024298727105,1399.0135801130018,,0.0195864509987586,0.855115889212828,1.4911251820012694,0.9950218644868912,0.0354726260011375,0.4340028587805932,6.317391980999673,Q100,D305
SD305Q100_2,SD305Q100,372.792807061762,2.288636825996946,131447.93533976696,2.1264696840007677,,,-18.42068074395237,871.9280121560005,-105988009.2241544,46.432252914000856,0.8014022002593536,1464.392452756998,,0.0191085149999707,0.8570535714285715,1.4570020880019,0.994388777167004,0.0314637060000677,0.4339427461790394,5.763861155999621,Q100,D305
SD305Q100_3,SD305Q100,397.7250949328256,1.7898185789999843,149119.05934500066,1.8434131630019688,,,-18.42068074395237,881.3843189629988,-104746454.79817732,45.840733105000254,0.799330664692504,1430.8327043889983,,0.0216410460016049,0.8557908163265306,1.5538441739990958,0.99501475292764,0.0328122419996361,0.4286359669388713,8.401455021998117,Q100,D305
SD305Q100_4,SD305Q100,304.79178909790085,1.8955017400003271,141865.54797874345,1.9674604690007984,,,-18.42068074395237,868.5952105390024,-214801309.1195618,48.63114353399942,0.8016847072784284,1491.684642133001,,0.0221447389994864,0.8571975218658892,1.5275494220004475,0.996149973409556,0.032066712003143,0.4383014266851675,6.559330257998226,Q100,D305
SD305Q100_5,SD305Q100,377.0755815698222,2.101568881000276,158329.43346898217,2.2538776119981776,,,-18.42068074395237,915.861747338,-88754837.76760896,68.23893781700099,0.7996204051468517,1481.713882999,,0.0274350500003492,0.8561457725947521,1.5208514500009187,0.995755508088378,0.0309336060017813,0.4208553112395781,6.53011794700069,Q100,D305
SD305Q100_6,SD305Q100,308.1877585352577,2.3172302689999924,141463.50653517348,2.1497359220011276,,,-18.420680743952374,888.3565530679989,-123333123.89836358,52.39402000900009,0.8011733092190599,1467.9772987020006,,0.020696765001048334,0.8571322886297376,1.5109946990014578,0.9957095003613764,0.03426201899856096,0.45996866407499015,7.169649753999693,Q100,D305
SD305Q100_7,SD305Q100,362.2172683091394,2.3946095510000305,145826.0664896394,2.43550791600137,,,-18.420680743952374,935.3526550930037,-182586359.85962117,40.68874974999926,0.8005455888324607,1469.637062711001,,0.024066070996923372,0.8568363702623907,1.529228774998046,0.9956585024226864,0.030440231996180955,0.45451418434550883,6.11870581900439,Q100,D305
SD305Q100_8,SD305Q100,310.3168477906478,2.2089980870005093,126021.16903921717,1.9475807909984724,,,-18.420680743952374,914.3517722190008,-152220492.0157506,40.73590726900147,0.7993707635732978,1475.7759983599972,,0.02296996099903481,0.8566202623906705,1.5181862419995014,0.9951749049819346,0.03168341399577912,0.41359265860470973,6.715802790000453,Q100,D305
SD305Q100_9,SD305Q100,372.7601293672195,1.9955567619981593,134691.8308341602,1.9604395310016116,,,-18.420680743952374,867.1654978849983,-93271545.78124206,68.30070576700382,0.8020010910477774,1467.7170121149975,,0.021706552994146477,0.8578403790087463,1.4874282620003214,0.9949660724917067,0.030606226006057113,0.4485780710775068,6.17889507599466,Q100,D305
