Dataset id,SDG,pMSE,pMSE_time,s_pMSE,s_pMSE_time,Cluster_G_0.5,Cluster_G_0.5_time,Cluster_G_1,Cluster_G_1_time,Cluster_G_1.5,Cluster_G_1.5_time,Cluster_G_2,Cluster_G_2_time,BNLogLikelihood,BNLogLikelihood_time,GMLogLikelihood,GMLogLikelihood_time,ContinousKLDivergence,ContinousKLDivergence_time,DiscreteKLDivergence,DiscreteKLDivergence_time,KSComplement,KSComplement_time,CSTest,CSTest_time,CrCl,CrCl_time,Quality,Original dataset
SD205Q1_0,SD205Q1,17.349226887580937,0.1695769650000329,34488.85500024583,0.1530686849998801,39.76828290479431,119.24619931300026,25.3469742848356,191.5628098520001,18.82525312524565,265.698058381,15.57899496531748,315.811767272,-19.50817358011081,1.1493427409996002,-48.20549013739686,9.622765773000085,0.4358249476820767,6.14403200300012,0.5851329668649758,0.2082289899999523,0.6080278128950695,0.0122175840001546,0.7542885628585771,0.0075507220003601,0.195780032991454,7.5323605399999,Q1,D205
SD205Q1_1,SD205Q1,20.850662091390284,0.1269994949998363,47092.18825950248,0.1519245979998231,40.14357108145391,125.68327096199982,20.967100699903707,197.241457308,14.792723588112684,371.4777315010001,12.824633006298445,367.2226424270002,-19.48657967847921,0.8363451189998159,-48.19557659947443,7.008084147000318,0.4400042034576453,0.09894986900008,0.5888524131814472,0.2202919989999827,0.6123261694058154,0.0124468740000338,0.7594440105864948,0.0077835500001128,0.2053073544670062,7.292053821000081,Q1,D205
SD205Q1_2,SD205Q1,21.57541290435124,0.1776409429999148,39810.66202109048,0.3327440709999791,33.1936540959781,87.17580711200026,19.77993233635769,209.1540655750005,14.43424718321485,239.1717456860005,12.16203288537693,359.3130546780003,-19.433613530083218,0.9167137280001044,-43.15865490904213,7.1185335700001815,0.4419756266588278,0.0996086750001268,0.5878499059692783,0.2135246260004351,0.6109355246523388,0.0126861399994595,0.759079044106931,0.0076354000002538,0.172462175263288,7.337414773000091,Q1,D205
SD205Q1_3,SD205Q1,19.52841684189536,0.1967694929999197,34933.35192450084,0.2099782090001554,42.75312473949514,95.08081091400004,22.80056570328889,156.4747808520001,17.806636029403165,198.0209804629999,14.54354062831877,261.15889958799994,-19.48846142859489,1.0345253100001628,-49.55173609466785,9.720007377000002,0.4413023745590759,17.84756490100017,0.5897824289969275,0.187124729000061,0.61346396965866,0.010264996999922,0.7600478295081963,0.0069074299999556,0.1742236376829372,5.972935219999954,Q1,D205
SD205Q1_4,SD205Q1,19.246235463292383,0.1127603799998269,37932.9597457772,0.1560283440001058,36.87946367681811,124.58306443200011,21.878316803504173,229.62798254699987,16.517848193868357,285.1661697889999,12.781195284123577,333.19469913600005,-19.44232842273881,0.7488362289996076,-47.29382784962856,7.280851051999889,0.4426477328659622,0.0855943209999168,0.5880661986187573,0.1881114020002314,0.6121997471554995,0.010671092999928,0.762276262257376,0.0064985330000126,0.1915090935645431,6.3954242100003285,Q1,D205
SD205Q1_5,SD205Q1,22.69212953430188,0.232400664999659,40028.266149464325,0.2816051710001375,33.203060010978604,104.47488319900005,18.230277235115302,219.1492815080001,14.76000085255636,233.9162977190004,11.54973718514665,295.57666060300016,-19.49160052080897,0.6994797080001263,-44.498240530256815,6.762717712999802,0.4418946628818959,0.0830976990000635,0.5844023463457231,0.1946760679998078,0.6105562579013907,0.0117442010000559,0.7577521376853373,0.0063515349997942,0.1877033330211706,6.782620620000216,Q1,D205
SD205Q1_6,SD205Q1,18.597537798948384,0.1485681449998992,37060.04808893062,0.1496862780001038,41.60823294819416,142.55705929199996,23.508378735402555,225.4895113,18.446401371284235,239.54624318799983,14.01786874355277,251.317356367,-19.47911138917189,1.1086129369998616,-45.77171996714758,6.854468338000061,0.4458515892399047,40.393257705,0.5833208458360045,0.2049263419999079,0.6095448798988622,0.014211036000006,0.7539926927964355,0.0080141210000874,0.1757826227141184,6.155961181000066,Q1,D205
SD205Q1_7,SD205Q1,22.43122049775747,0.1304822070001137,38433.77087058154,0.1424721199998657,30.34707935106528,111.63693547699997,21.526762464787943,280.8009066,16.181780894687478,294.1414060830002,11.569925824944953,329.4044200410003,-19.5298010696388,0.7046536899997591,-48.53455816347566,11.312310082000296,0.4381067901131848,0.0839501870000276,0.5879347695851196,0.1933136059997195,0.6089759797724399,0.0119992380000439,0.7573976537864321,0.0064056940000227,0.1702381553874026,6.190795709999748,Q1,D205
SD205Q1_8,SD205Q1,21.639481040202924,0.2305355630001031,43286.29425223888,0.237067678999665,33.15458416140613,87.53649525399987,17.40910014931492,179.70293304899997,13.6715330665933,317.21467571699986,10.74159009704034,329.8676192130001,-19.45327861800346,0.7186556030001157,-45.88289609384663,6.802284087999851,0.445289619062278,0.0867516680000335,0.5919093546932637,0.1966861529999732,0.6151074589127686,0.0131695909999507,0.7663855801498093,0.0067409319999569,0.1859434871570362,7.037078822999774,Q1,D205
SD205Q1_9,SD205Q1,19.430961031711767,0.1156733620000523,33636.08996678286,0.1508064520003245,41.59094168635252,103.55599806400004,23.87979771225606,195.69248189800047,17.149748249982622,232.68166613799983,14.546424423170802,372.2194704190006,-19.55230104578158,0.7847737629999756,-41.39410752126332,8.742066007000176,0.4483091189407967,0.0855211170000984,0.5821161623797632,0.1940865900005519,0.6120101137800252,0.0114151560001118,0.7546462009998627,0.0068575300001612,0.1820225411306216,6.267927652999788,Q1,D205
SD205Q10_0,SD205Q10,13.53198003403434,0.2999386399999366,23122.035616387107,0.3063927160000048,29.320897681896096,125.48319869700003,22.068399458310136,243.39049967,15.600437423975022,284.9703683749999,12.505277322937582,336.00363190099984,-19.464130582673995,1.0638490870001078,-43.427907921607606,12.923823039000126,0.4877575899770985,0.1265833349998502,0.6385107501566274,0.224581310999838,0.6487357774968395,0.0155262270000093,0.8108483377787785,0.0084886580000329,0.1807393321478572,11.52596292499993,Q10,D205
SD205Q10_1,SD205Q10,14.268621131675506,0.2710669690000031,30509.364248009777,0.1894736499998544,27.54520016310918,132.29292135700007,16.62244549357741,234.367774908,13.32058865724316,342.2159837270001,11.280878468407415,366.0602142460002,-19.30575894008701,0.8078236640003524,-42.4605132360499,12.391662797000208,0.486421323640985,0.1264886349999869,0.6358365385612745,0.2327504680001766,0.6460809102402024,0.0129129150000153,0.8117798786760304,0.0073444739996375,0.1878271634873924,9.357966706999832,Q10,D205
SD205Q10_2,SD205Q10,16.630790286923833,0.1664111069999307,28362.05721186872,0.2017633780001233,25.239817377583904,93.89314386899969,16.04530894825354,173.9700158810001,10.828974094697944,228.39003767699973,8.966797999359255,338.533421785,-19.385853775632228,0.7948007209997741,-42.62153926627993,10.669679698999971,0.4789961543009958,0.1206049760003225,0.6371651116678537,0.2187380280001889,0.645259165613148,0.0122473180003908,0.8095103532523445,0.0071472640001957,0.1738171833326069,10.908909563999714,Q10,D205
