Epoch,Loss_G,Loss_D
1,1.4531,-0.0172
2,1.1734,0.0232
3,1.3861,0.0564
4,1.212,-0.0143
5,1.3443,-0.1352
6,1.2079,-0.0915
7,1.267,-0.0398
8,1.5355,0.0174
9,1.1571,-0.0861
10,1.2554,-0.112
11,1.4402,-0.1297
12,1.26,-0.1348
13,1.2658,-0.2133
14,1.3496,-0.3438
15,1.2895,-0.2042
16,1.3784,-0.2508
17,1.2522,-0.2274
18,1.3433,-0.4769
19,1.3164,-0.4632
20,1.3898,-0.5831
21,1.4422,-0.3572
22,1.2285,-0.4658
23,1.3667,-0.5965
24,1.4614,-0.5646
25,1.5007,-0.7888
26,1.4411,-0.7445
27,1.4893,-0.9477
28,1.4777,-0.6189
29,1.6935,-0.689
30,1.6214,-0.8544
31,1.1434,-0.6554
32,1.0785,-0.7535
33,1.0899,-0.5257
34,1.4247,-0.754
35,0.8075,-0.5659
36,1.2473,-1.0408
37,1.5119,-1.0533
38,1.2486,-0.4885
39,1.1853,-0.9483
40,0.8915,-0.7455
41,1.0482,-0.7744
42,0.9242,-0.8581
43,1.1793,-0.3038
44,1.0167,-0.4033
45,1.1285,-0.9432
46,0.9287,-0.7694
47,1.0795,-0.5439
48,0.6018,-0.1883
49,0.8134,-0.8073
50,0.8873,-0.6238
51,0.8805,-0.4812
52,0.6663,-0.2338
53,0.6748,-0.1206
54,0.555,-0.8168
55,0.9712,-0.2062
56,0.5976,-0.4416
57,1.1148,-0.2338
58,0.6314,-0.0499
59,0.5934,-0.2079
60,0.7703,-0.5925
61,0.8189,-0.2207
62,0.8943,-0.2667
63,0.7796,-0.0782
64,0.7745,-0.2524
65,0.5008,-0.0204
66,0.643,-0.5248
67,0.446,-0.2689
68,0.5799,-0.3384
69,0.3757,-0.2607
70,0.5053,-0.2441
71,0.4172,-0.1121
72,0.559,-0.7061
73,0.5345,0.3091
74,0.4588,0.4402
75,0.2995,-0.3337
76,0.2415,0.0992
77,0.8959,0.0409
78,0.2572,-0.1428
79,0.4331,0.3323
80,0.4592,-0.081
81,0.3577,0.3323
82,0.3152,0.2785
83,0.1137,0.4543
84,0.5815,0.0445
85,0.2703,-0.3482
86,0.4115,-0.0438
87,-0.1069,0.1534
88,0.5193,0.2542
89,0.7585,0.4894
90,0.7553,-0.0043
91,0.4268,-0.2085
92,0.1281,0.2578
93,0.27,0.4176
94,0.7024,-0.176
95,0.79,0.1402
96,0.5982,-0.2098
97,0.3132,0.1815
98,0.9009,0.063
99,0.8324,-0.0352
100,0.4452,0.1636
