Epoch,Loss_G,Loss_D
1,2.0139,-0.1192
2,1.9495,-0.1105
3,2.1723,-0.3053
4,1.9905,-0.3628
5,2.0154,-0.7399
6,2.1139,-0.9412
7,2.0179,-1.1721
8,2.2633,-1.7643
9,2.3106,-1.5173
10,2.4862,-1.8921
11,2.2746,-1.7017
12,2.2444,-1.6166
13,1.8896,-1.7568
14,1.9523,-2.173
15,1.6983,-1.972
16,2.1558,-2.1683
17,1.7238,-1.1682
18,1.8245,-1.3129
19,1.3534,-1.6509
20,1.744,-2.0675
21,1.7914,-1.6115
22,1.1439,-1.1263
23,1.1945,-1.085
24,0.653,-1.3875
25,1.0389,-0.9151
26,1.0498,-0.3827
27,1.3874,-0.9387
28,1.1617,-1.1272
29,1.5157,-0.7058
30,1.398,-1.4227
31,1.5275,-0.8012
32,1.3879,-0.5497
33,1.1215,-0.9803
34,0.7108,-0.944
35,1.2664,-0.1402
36,1.7917,-0.9332
37,0.8346,-1.058
38,0.8103,-0.001
39,1.1451,-0.9749
40,1.2919,-0.3147
41,0.6458,-0.4742
42,0.9274,0.0541
43,0.9767,0.7633
44,1.2336,-1.0846
45,1.4157,-0.1275
46,1.6721,-0.6389
47,1.0766,-0.5027
48,1.1127,-0.4555
49,1.0654,-0.4256
50,0.7624,-0.6687
51,0.832,0.2352
52,1.5138,-0.1027
53,0.9518,-0.1837
54,1.196,0.0452
55,0.4835,0.6095
56,0.722,-0.1075
57,0.302,-0.0545
58,0.6323,0.0427
59,1.2418,0.2015
60,0.7511,0.0924
61,0.5608,-0.5018
62,0.8443,0.1092
63,1.0005,0.1477
64,0.7832,-0.0002
65,0.7069,-0.0744
66,0.198,-0.089
67,0.5951,0.0485
68,0.3188,-0.005
69,0.9776,0.5712
70,0.771,0.2963
71,0.2446,0.5208
72,0.3755,0.2099
73,0.1991,0.3473
74,0.5939,0.3831
75,1.3296,0.625
76,1.1215,-0.05
77,0.3737,-0.2067
78,0.532,0.3557
79,0.5425,-0.0232
80,0.3828,0.1382
81,1.2484,0.7821
82,0.9825,0.3361
83,1.2867,0.2089
84,0.5882,-0.1982
85,0.9707,0.1448
86,1.2069,0.7536
87,1.0174,0.1028
88,0.8926,0.28
89,0.7901,-0.0759
90,1.051,0.5927
91,1.1158,-0.0747
92,0.5875,0.6484
93,0.7962,0.0908
94,0.6097,0.6824
95,0.2336,-0.1604
96,0.9579,0.0858
97,0.7785,0.0881
98,1.3548,0.3244
99,1.5861,0.3501
100,0.8804,0.358
101,0.3984,0.2045
102,1.0865,0.1194
103,0.7543,0.7348
104,0.903,-0.0706
105,1.1494,0.0116
106,0.9218,0.2527
107,1.1202,0.3043
108,1.3425,0.4414
109,1.3647,0.245
110,1.1447,0.988
111,1.1236,-0.2123
112,1.3862,-0.0788
113,1.1845,-0.5748
114,0.969,0.0812
115,1.0631,0.229
116,1.5047,0.1874
117,1.4417,0.2058
118,1.3462,-0.1008
119,1.2832,0.0557
120,1.9778,0.2406
121,1.0585,0.3713
122,1.6051,0.3971
123,1.4023,-0.0122
124,1.6579,0.3307
125,1.2107,-0.0061
126,1.6432,0.0368
127,1.4931,-0.4894
128,1.9197,0.111
129,1.8751,0.2719
130,1.4839,0.2599
131,1.5005,0.2716
132,1.7007,0.0376
133,1.7576,0.4296
134,1.7289,-0.2208
135,1.5859,0.0361
136,1.7636,-0.1106
137,2.3212,-0.1542
138,2.3442,-0.2024
139,1.8654,0.1128
140,2.0997,0.31
141,2.1434,-0.0721
