Epoch,Loss_G,Loss_D
1,0.6501,-0.0729
2,0.7427,-0.0145
3,0.8511,-0.0134
4,0.631,0.0548
5,0.6825,-0.1014
6,0.7095,-0.1
7,0.6853,-0.1067
8,0.5974,-0.1221
9,0.603,-0.0556
10,0.6625,-0.058
11,0.6218,-0.1282
12,0.7636,-0.0096
13,0.545,-0.1213
14,0.6659,-0.1054
15,0.6508,0.0178
16,0.5826,-0.1246
17,0.5478,0.0328
18,0.5843,-0.1119
19,0.6401,-0.0881
20,0.5607,-0.2574
21,0.6827,-0.1834
22,0.7097,-0.3567
23,0.297,-0.1214
24,0.4993,-0.2798
25,0.4789,-0.2601
26,0.5497,-0.2523
27,0.5619,-0.1545
28,0.4245,0.036
29,0.2843,-0.5445
30,0.4031,-0.0987
31,0.2994,-0.4151
32,0.2496,-0.0364
33,0.4192,-0.3326
34,0.2069,-0.6574
35,0.3776,-0.3477
36,0.0075,-0.1743
37,0.1458,-0.194
38,0.2377,-0.2367
39,-0.1145,-0.4823
40,0.0179,-0.2092
41,0.2961,-0.0609
42,-0.207,-0.3065
43,-0.0584,-0.0599
44,0.2005,-0.0917
45,0.0402,-0.4823
46,0.0211,-0.219
47,-0.0305,-0.267
48,0.0164,-0.1968
49,-0.1327,-0.1453
50,-0.003,0.184
51,0.1237,-0.5455
52,-0.2068,0.1603
53,0.1898,0.2089
54,-0.163,-0.2481
55,-0.0984,-0.4121
56,-0.2372,-0.0764
57,-0.07,-0.1024
58,-0.2656,-0.1555
59,-0.1629,0.2358
60,-0.4974,-0.0206
61,-0.2083,0.2147
62,-0.4971,-0.001
63,-0.4567,0.0995
64,-0.0505,-0.0415
65,-0.3203,0.1533
66,-0.2192,0.1484
67,-0.2738,-0.1194
68,-0.3362,0.0043
69,-0.3714,0.0014
70,-0.3813,-0.1022
71,-0.3828,-0.2341
72,-0.2606,0.2907
73,-0.3293,-0.23
74,-0.1478,0.1975
75,-0.2445,0.2482
76,-0.2749,-0.0775
77,-0.1867,-0.1445
78,-0.2505,0.5871
79,-0.2618,0.2095
80,-0.1523,0.0853
81,0.0515,-0.389
82,-0.1417,-0.1118
83,-0.1195,-0.4078
84,-0.0574,-0.4211
85,-0.167,-0.1259
86,0.0298,-0.3253
87,0.0203,-0.0344
88,0.0091,0.0715
89,0.0582,-0.4686
90,-0.2221,-0.0401
91,-0.0807,-0.4011
92,-0.2158,-0.3576
93,-0.0926,0.1805
94,0.0133,-0.4428
95,0.0703,-0.5527
96,-0.0776,-0.0061
97,0.0048,-0.1468
98,0.161,0.0523
99,0.0966,-0.4329
100,-0.4107,0.1378
101,0.232,-0.0611
102,0.0338,-0.0015
103,0.0021,-0.0008
104,0.2397,-0.0342
105,0.031,0.0138
106,-0.0317,-0.1369
107,-0.1279,0.2742
108,0.0552,0.2128
109,-0.1515,0.2502
110,-0.1152,-0.2946
111,0.0563,0.5105
112,-0.1548,-0.3061
113,-0.1181,0.0399
114,-0.0376,-0.2035
115,-0.2637,-0.0189
116,-0.1149,-0.3282
117,-0.0308,0.0565
118,-0.03,-0.3301
119,0.0882,-0.1074
120,0.0537,-0.2172
121,0.2986,0.2113
122,-0.1832,-0.0529
123,-0.1147,-0.2819
124,-0.1642,-0.2211
125,-0.0464,-0.4327
126,-0.0979,0.2688
127,-0.1151,-0.2461
128,-0.1268,-0.0132
129,-0.1249,0.259
130,-0.2389,0.0854
131,-0.048,-0.0222
132,-0.3021,0.1444
133,-0.3056,0.32
134,-0.3626,-0.109
135,-0.0652,-0.1039
136,-0.403,0.1121
137,-0.407,0.0306
138,-0.3223,-0.1262
139,-0.3591,0.5222
140,-0.3066,0.3601
141,-0.3789,0.1832
142,-0.181,0.2498
143,-0.1335,0.4297
144,-0.4094,-0.2612
145,-0.4569,0.3571
146,-0.2623,0.6802
147,-0.4253,-0.1225
148,-0.1519,0.2944
149,-0.1434,0.0214
150,0.0463,0.0475
151,-0.3991,-0.2762
152,-0.0955,0.3176
153,-0.1817,-0.1836
154,-0.2835,-0.0079
155,-0.1663,-0.0965
156,-0.0803,-0.1035
157,-0.2319,0.268
158,-0.2608,0.2597
159,-0.2606,-0.1934
160,-0.1803,-0.5082
161,-0.5842,-0.4086
162,-0.2768,-0.0396
163,-0.6075,-0.1768
164,-0.2888,0.1138
165,-0.4871,-0.1449
166,-0.3162,0.2795
167,-0.336,-0.296
168,-0.4913,0.2688
169,-0.4544,-0.0794
170,-0.5023,0.0449
171,-0.5269,0.1453
172,-0.7221,-0.5294
173,-0.5318,-0.0954
174,-0.5388,-0.0486
175,-0.3717,-0.2121
176,-0.4296,-0.1132
177,-0.4789,-0.4187
178,-0.5409,-0.2143
179,-0.2187,0.2409
180,-0.2384,-0.1077
181,-0.5727,0.0484
182,-0.4972,-0.0016
183,-0.3027,-0.1026
184,-0.2305,-0.3455
185,-0.6385,-0.4689
186,-0.3837,-0.2336
187,-0.4189,0.113
188,-0.4083,-0.0911
189,-0.3953,-0.556
190,-0.5336,-0.3611
191,-0.4789,0.2425
192,-0.3189,-0.1706
193,-0.6099,-0.1825
194,-0.5034,-0.2553
195,-0.738,-0.17
196,-0.5136,0.1141
197,-0.5042,-0.296
198,-0.5961,-0.0235
199,-0.7934,0.0497
200,-0.8426,0.0266
201,-0.6496,0.219
202,-0.7621,-0.1021
203,-0.7552,0.1682
204,-0.9123,-0.044
205,-0.6734,0.1618
206,-0.8151,-0.0637
207,-0.7224,0.4557
208,-0.8978,0.1578
209,-0.6669,0.3391
210,-0.605,0.2846
211,-1.0338,-0.175
212,-0.611,0.3681
213,-0.8666,0.298
214,-0.8775,0.0949
215,-1.0713,-0.1508
216,-0.9499,-0.1054
217,-0.9534,-0.0153
218,-0.9409,0.4114
219,-0.9516,0.3681
220,-0.7227,0.2325
221,-0.6295,0.0781
222,-0.8403,-0.0484
223,-0.67,0.4329
224,-0.7535,0.2894
225,-0.7834,0.3072
226,-0.6565,0.4483
227,-0.8863,0.3777
228,-0.4666,-0.0913
229,-0.7003,-0.0287
230,-0.6427,-0.4444
231,-0.5728,-0.191
232,-1.0257,0.2392
233,-0.6036,0.2303
234,-0.9224,0.1783
235,-0.8323,-0.0434
236,-0.5437,-0.0794
237,-0.8282,0.1792
238,-0.658,-0.1318
239,-0.6266,-0.4228
240,-0.7848,-0.2055
241,-0.7306,-0.1253
242,-0.7127,-0.1702
243,-0.6918,0.0738
244,-0.7254,0.111
245,-0.5577,0.2716
246,-0.3724,0.3755
247,-0.7878,-0.0813
248,-0.743,0.2369
249,-0.5309,-0.5936
250,-0.5258,0.0321
251,-0.6813,0.0023
252,-0.6078,0.1003
253,-0.3526,-0.4431
254,-0.6097,-0.0007
255,-0.4614,-0.3178
256,-0.6434,-0.0097
257,-0.2551,-0.0307
258,-0.4597,-0.2262
259,-0.6417,-0.5989
260,-0.4503,-0.2507
261,-0.4229,-0.2584
262,-0.4234,-0.0942
263,-0.0827,-0.2444
264,-0.5198,-0.285
265,-0.5717,-0.1628
266,-0.6697,0.0186
267,-0.5264,-0.1091
268,-0.5671,-0.0558
269,-0.3358,-0.3893
270,-0.5981,0.0148
271,-0.4904,-0.2419
272,-0.6298,-0.0984
273,-0.6376,-0.0679
274,-0.4837,0.1987
275,-0.4746,-0.3019
276,-0.3656,-0.344
277,-0.529,-0.217
278,-0.6498,-0.486
279,-0.5261,0.0087
280,-0.2768,0.2601
281,-0.5877,0.1537
282,-0.5994,-0.1188
283,-0.8843,-0.0262
284,-0.5163,-0.2516
285,-0.4625,0.0009
286,-0.5924,-0.1097
287,-0.5466,0.1784
288,-0.7565,-0.2185
289,-0.656,-0.3177
290,-0.4451,0.0512
291,-0.7092,0.2923
292,-0.5134,0.0049
293,-0.5631,0.1593
294,-0.5568,-0.0816
295,-0.5451,-0.0803
296,-0.7249,-0.4194
297,-0.9304,0.0713
298,-0.3969,0.1663
299,-0.4934,0.1292
300,-0.9879,-0.1084
301,-0.4396,0.2372
302,-0.9079,0.3236
303,-0.693,0.2464
304,-0.7548,-0.0454
305,-0.5181,0.3974
306,-0.7804,0.0958
307,-0.8288,0.0144
308,-0.7244,0.2279
309,-1.0835,0.0299
310,-0.5619,0.1278
311,-0.7664,0.3214
312,-0.8211,0.1407
313,-0.7611,0.1486
314,-0.7235,-0.3078
315,-0.6558,-0.3199
316,-1.0386,0.0018
317,-0.8304,-0.2787
318,-0.7218,0.1841
319,-0.5937,-0.1766
320,-0.8171,-0.0947
321,-0.5804,-0.0688
322,-1.0683,0.3501
323,-0.8175,-0.2884
324,-0.6647,-0.3955
325,-0.5083,-0.134
326,-0.8944,-0.1377
327,-0.8051,-0.2144
328,-0.7164,-0.2028
329,-0.9198,-0.1387
330,-0.7048,0.1503
331,-0.7278,-0.0636
332,-0.8842,-0.064
333,-0.5317,-0.1364
334,-0.5883,0.0924
335,-0.7327,0.1742
336,-0.6821,-0.1936
337,-0.6861,-0.3289
338,-0.9444,-0.2791
339,-0.6375,-0.4058
340,-0.883,-0.1735
341,-1.0467,-0.0855
342,-1.1586,-0.1737
343,-1.0844,-0.0022
344,-0.8677,-0.0335
345,-0.8412,-0.0133
346,-1.1569,-0.3566
347,-1.2467,0.1966
348,-0.6509,0.3268
349,-0.6952,-0.0109
350,-0.7774,0.0358
351,-0.8214,0.0054
352,-1.0207,0.1412
353,-0.962,0.0279
354,-0.7866,0.2113
355,-0.4679,-0.028
356,-0.7247,0.3321
357,-0.7629,-0.0605
358,-0.958,-0.0696
359,-0.6982,-0.0056
360,-1.1074,0.0577
361,-0.9099,-0.109
362,-1.0794,-0.3118
363,-0.6994,-0.0712
364,-1.1316,0.5442
365,-0.6974,0.058
366,-0.7257,-0.1814
367,-0.9047,-0.1002
368,-0.9295,0.1193
369,-1.0918,-0.1788
370,-1.2009,-0.1227
371,-0.8504,0.0767
372,-1.03,0.035
373,-1.1161,0.479
374,-1.1766,0.0445
375,-1.0279,0.3778
376,-0.9276,0.0306
377,-0.9813,0.1052
378,-1.2088,0.071
379,-0.8862,0.088
380,-0.7967,-0.2206
381,-1.0331,-0.1789
382,-1.131,0.3195
383,-0.9711,-0.3667
384,-0.9812,0.4339
385,-0.9892,0.1578
386,-0.9176,-0.1645
387,-0.8556,-0.1546
388,-0.9205,0.2426
389,-0.9899,-0.3535
390,-0.7931,-0.1051
391,-0.9893,-0.2828
392,-0.9332,0.114
393,-0.8755,-0.0057
394,-1.1649,-0.2064
395,-0.9056,0.1788
396,-0.8243,-0.0213
397,-0.7466,0.0946
398,-0.6202,-0.188
399,-0.8905,-0.0564
400,-0.9248,-0.0825
401,-1.3259,-0.1658
402,-1.0491,0.0885
403,-0.8833,-0.0371
404,-1.0196,-0.0635
405,-0.7796,-0.1182
406,-0.9731,0.3356
407,-1.1094,-0.1744
408,-1.2477,-0.129
409,-1.1546,-0.1962
410,-0.7794,0.0001
411,-0.6012,-0.106
412,-0.9661,-0.3423
413,-0.7022,0.1487
414,-1.0913,-0.3356
415,-0.6075,-0.3275
416,-0.7213,-0.0701
417,-0.7933,-0.1442
418,-1.0751,-0.3864
